Date,Value
9/1/2002,382.4
10/1/2002,383.742
11/1/2002,484.933
12/1/2002,698.871
1/1/2003,366.419
2/1/2003,463.393
3/1/2003,651.871
4/1/2003,1128.1
5/1/2003,775.871
6/1/2003,460.233
7/1/2003,419.774
8/1/2003,345
9/1/2003,286.862
10/1/2003,332.452
11/1/2003,415.567
12/1/2003,572.672
1/1/2004,1517.626
2/1/2004,1138.075
3/1/2004,683.519
4/1/2004,918.633
5/1/2004,1019.29
6/1/2004,475.633
7/1/2004,468.097
8/1/2004,290.129
9/1/2004,227.933
10/1/2004,270.806
11/1/2004,315.967
12/1/2004,465.839
1/1/2005,616.323
2/1/2005,452.714
3/1/2005,1541.651
4/1/2005,1134.497
5/1/2005,664.629
6/1/2005,387.9
7/1/2005,439.677
8/1/2005,394.226
9/1/2005,263.633
10/1/2005,276.161
11/1/2005,290.367
12/1/2005,395.677
1/1/2006,513.129
2/1/2006,2369.788
3/1/2006,1383.855
4/1/2006,1334.9
5/1/2006,945.258
6/1/2006,690.433
7/1/2006,611.419
8/1/2006,685.516
9/1/2006,709.733
10/1/2006,365.677
11/1/2006,623.667
12/1/2006,604.452
1/1/2007,607.419
2/1/2007,523.357
3/1/2007,479.645
4/1/2007,1408.233
5/1/2007,1209.355
6/1/2007,693.133
7/1/2007,545.065
8/1/2007,526
9/1/2007,445.433
10/1/2007,356.129
11/1/2007,369.1
12/1/2007,606.161
1/1/2008,631.903
2/1/2008,456.517
3/1/2008,356.323
4/1/2008,277.3
5/1/2008,240.677
6/1/2008,180.567
7/1/2008,164.516
8/1/2008,140.948
9/1/2008,120.417
10/1/2008,112.681
11/1/2008,126.3
12/1/2008,174.032
1/1/2009,121.032
2/1/2009,124.407
3/1/2009,114.752
4/1/2009,151.667
5/1/2009,133.355
6/1/2009,119.5
7/1/2009,194.839
8/1/2009,151.323
9/1/2009,155.333
10/1/2009,175.581
11/1/2009,193.167
12/1/2009,269.71
1/1/2010,199.806
2/1/2010,273.964
3/1/2010,353.581
4/1/2010,330.2
5/1/2010,475.774
6/1/2010,303.9
7/1/2010,301.387
8/1/2010,226.29
9/1/2010,197.2
10/1/2010,180.355
11/1/2010,186.1
12/1/2010,172.032
1/1/2011,313.774
2/1/2011,271.25
3/1/2011,241.581
4/1/2011,246.167
5/1/2011,248.194
6/1/2011,228.533
7/1/2011,248.677
8/1/2011,218.29
9/1/2011,213.333
10/1/2011,260.065
11/1/2011,334.733
12/1/2011,232.774
1/1/2012,246.032
2/1/2012,263.724
3/1/2012,219.194
4/1/2012,238.967
5/1/2012,247.323
6/1/2012,203.2
7/1/2012,219.194
8/1/2012,234.323
9/1/2012,197.867
10/1/2012,221.323
11/1/2012,289.6
12/1/2012,426.226
1/1/2013,281.065
2/1/2013,325.357
3/1/2013,257.194
4/1/2013,300.033
5/1/2013,272.645
6/1/2013,208.5
7/1/2013,319.968
8/1/2013,324.387
9/1/2013,244.533
10/1/2013,249.774
11/1/2013,265.5
12/1/2013,290
1/1/2014,372.226
2/1/2014,257.536
3/1/2014,358.613
4/1/2014,432.033
5/1/2014,346.71
6/1/2014,230.133
7/1/2014,276.032
8/1/2014,286.742
9/1/2014,263.2
10/1/2014,357.323
11/1/2014,362.967
12/1/2014,322.226
1/1/2015,260.806
2/1/2015,290.071
3/1/2015,323.161
4/1/2015,274.467
5/1/2015,231.484
6/1/2015,236.9
7/1/2015,290.548
8/1/2015,274.097
9/1/2015,301.4
10/1/2015,340.161
11/1/2015,373.133
12/1/2015,380.774
1/1/2016,471.645
2/1/2016,299.31
3/1/2016,358.161
4/1/2016,690.2
5/1/2016,473.452
6/1/2016,300.2
7/1/2016,339.903
8/1/2016,345.065
9/1/2016,353.524
