Date,Value
2002-09,382.4
2002-10,383.742
2002-11,484.933
2002-12,698.871
2003-01,366.419
2003-02,463.393
2003-03,651.871
2003-04,1128.1
2003-05,775.871
2003-06,460.233
2003-07,419.774
2003-08,345.0
2003-09,286.862
2003-10,332.452
2003-11,415.567
2003-12,572.672
2004-01,1517.626
2004-02,1138.075
2004-03,683.519
2004-04,918.633
2004-05,1019.29
2004-06,475.633
2004-07,468.097
2004-08,290.129
2004-09,227.933
2004-10,270.806
2004-11,315.967
2004-12,465.839
2005-01,616.323
2005-02,452.714
2005-03,1541.651
2005-04,1134.497
2005-05,664.629
2005-06,387.9
2005-07,439.677
2005-08,394.226
2005-09,263.633
2005-10,276.161
2005-11,290.367
2005-12,395.677
2006-01,513.129
2006-02,2369.788
2006-03,1383.855
2006-04,1334.9
2006-05,945.258
2006-06,690.433
2006-07,611.419
2006-08,685.516
2006-09,709.733
2006-10,365.677
2006-11,623.667
2006-12,604.452
2007-01,607.419
2007-02,523.357
2007-03,479.645
2007-04,1408.233
2007-05,1209.355
2007-06,693.133
2007-07,545.065
2007-08,526.0
2007-09,445.433
2007-10,356.129
2007-11,369.1
2007-12,606.161
2008-01,631.903
2008-02,456.517
2008-03,356.323
2008-04,277.3
2008-05,240.677
2008-06,180.567
2008-07,164.516
2008-08,140.948
2008-09,120.417
2008-10,112.681
2008-11,126.3
2008-12,174.032
2009-01,121.032
2009-02,124.407
2009-03,114.752
2009-04,151.667
2009-05,133.355
2009-06,119.5
2009-07,194.839
2009-08,151.323
2009-09,155.333
2009-10,175.581
2009-11,193.167
2009-12,269.71
2010-01,199.806
2010-02,273.964
2010-03,353.581
2010-04,330.2
2010-05,475.774
2010-06,303.9
2010-07,301.387
2010-08,226.29
2010-09,197.2
2010-10,180.355
2010-11,186.1
2010-12,172.032
2011-01,313.774
2011-02,271.25
2011-03,241.581
2011-04,246.167
2011-05,248.194
2011-06,228.533
2011-07,248.677
2011-08,218.29
2011-09,213.333
2011-10,260.065
2011-11,334.733
2011-12,232.774
2012-01,246.032
2012-02,263.724
2012-03,219.194
2012-04,238.967
2012-05,247.323
2012-06,203.2
2012-07,219.194
2012-08,234.323
2012-09,197.867
2012-10,221.323
2012-11,289.6
2012-12,426.226
2013-01,281.065
2013-02,325.357
2013-03,257.194
2013-04,300.033
2013-05,272.645
2013-06,208.5
2013-07,319.968
2013-08,324.387
2013-09,244.533
2013-10,249.774
2013-11,265.5
2013-12,290.0
2014-01,372.226
2014-02,257.536
2014-03,358.613
2014-04,432.033
2014-05,346.71
2014-06,230.133
2014-07,276.032
2014-08,286.742
2014-09,263.2
2014-10,357.323
2014-11,362.967
2014-12,322.226
2015-01,260.806
2015-02,290.071
2015-03,323.161
2015-04,274.467
2015-05,231.484
2015-06,236.9
2015-07,290.548
2015-08,274.097
2015-09,301.4
2015-10,340.161
2015-11,373.133
2015-12,380.774
2016-01,471.645
2016-02,299.31
2016-03,358.161
2016-04,690.2
2016-05,473.452
2016-06,300.2
2016-07,339.903
2016-08,345.065
2016-09,353.524
