Date,Value
2002-09-01,382.4
2002-10-01,383.742
2002-11-01,484.933
2002-12-01,698.871
2003-01-01,366.419
2003-02-01,463.393
2003-03-01,651.871
2003-04-01,1128.1
2003-05-01,775.871
2003-06-01,460.233
2003-07-01,419.774
2003-08-01,345.0
2003-09-01,286.862
2003-10-01,332.452
2003-11-01,415.567
2003-12-01,572.672
2004-01-01,1517.626
2004-02-01,1138.075
2004-03-01,683.519
2004-04-01,918.633
2004-05-01,1019.29
2004-06-01,475.633
2004-07-01,468.097
2004-08-01,290.129
2004-09-01,227.933
2004-10-01,270.806
2004-11-01,315.967
2004-12-01,465.839
2005-01-01,616.323
2005-02-01,452.714
2005-03-01,1541.651
2005-04-01,1134.497
2005-05-01,664.629
2005-06-01,387.9
2005-07-01,439.677
2005-08-01,394.226
2005-09-01,263.633
2005-10-01,276.161
2005-11-01,290.367
2005-12-01,395.677
2006-01-01,513.129
2006-02-01,2369.788
2006-03-01,1383.855
2006-04-01,1334.9
2006-05-01,945.258
2006-06-01,690.433
2006-07-01,611.419
2006-08-01,685.516
2006-09-01,709.733
2006-10-01,365.677
2006-11-01,623.667
2006-12-01,604.452
2007-01-01,607.419
2007-02-01,523.357
2007-03-01,479.645
2007-04-01,1408.233
2007-05-01,1209.355
2007-06-01,693.133
2007-07-01,545.065
2007-08-01,526.0
2007-09-01,445.433
2007-10-01,356.129
2007-11-01,369.1
2007-12-01,606.161
2008-01-01,631.903
2008-02-01,456.517
2008-03-01,356.323
2008-04-01,277.3
2008-05-01,240.677
2008-06-01,180.567
2008-07-01,164.516
2008-08-01,140.948
2008-09-01,120.417
2008-10-01,112.681
2008-11-01,126.3
2008-12-01,174.032
2009-01-01,121.032
2009-02-01,124.407
2009-03-01,114.752
2009-04-01,151.667
2009-05-01,133.355
2009-06-01,119.5
2009-07-01,194.839
2009-08-01,151.323
2009-09-01,155.333
2009-10-01,175.581
2009-11-01,193.167
2009-12-01,269.71
2010-01-01,199.806
2010-02-01,273.964
2010-03-01,353.581
2010-04-01,330.2
2010-05-01,475.774
2010-06-01,303.9
2010-07-01,301.387
2010-08-01,226.29
2010-09-01,197.2
2010-10-01,180.355
2010-11-01,186.1
2010-12-01,172.032
2011-01-01,313.774
2011-02-01,271.25
2011-03-01,241.581
2011-04-01,246.167
2011-05-01,248.194
2011-06-01,228.533
2011-07-01,248.677
2011-08-01,218.29
2011-09-01,213.333
2011-10-01,260.065
2011-11-01,334.733
2011-12-01,232.774
2012-01-01,246.032
2012-02-01,263.724
2012-03-01,219.194
2012-04-01,238.967
2012-05-01,247.323
2012-06-01,203.2
2012-07-01,219.194
2012-08-01,234.323
2012-09-01,197.867
2012-10-01,221.323
2012-11-01,289.6
2012-12-01,426.226
2013-01-01,281.065
2013-02-01,325.357
2013-03-01,257.194
2013-04-01,300.033
2013-05-01,272.645
2013-06-01,208.5
2013-07-01,319.968
2013-08-01,324.387
2013-09-01,244.533
2013-10-01,249.774
2013-11-01,265.5
2013-12-01,290.0
2014-01-01,372.226
2014-02-01,257.536
2014-03-01,358.613
2014-04-01,432.033
2014-05-01,346.71
2014-06-01,230.133
2014-07-01,276.032
2014-08-01,286.742
2014-09-01,263.2
2014-10-01,357.323
2014-11-01,362.967
2014-12-01,322.226
2015-01-01,260.806
2015-02-01,290.071
2015-03-01,323.161
2015-04-01,274.467
2015-05-01,231.484
2015-06-01,236.9
2015-07-01,290.548
2015-08-01,274.097
2015-09-01,301.4
2015-10-01,340.161
2015-11-01,373.133
2015-12-01,380.774
2016-01-01,471.645
2016-02-01,299.31
2016-03-01,358.161
2016-04-01,690.2
2016-05-01,473.452
2016-06-01,300.2
2016-07-01,339.903
2016-08-01,345.065
2016-09-01,353.524
