Date,Value
2006-09-21,746.000
2006-09-22,789.000
2006-09-23,586.000
2006-09-24,489.000
2006-09-25,412.000
2006-09-26,427.000
2006-09-27,454.000
2006-09-28,446.000
2006-09-29,385.000
2006-09-30,364.000
2006-10-01,364.000
2006-10-02,352.000
2006-10-03,359.000
2006-10-04,371.000
2006-10-05,366.000
2006-10-06,352.000
2006-10-07,340.000
2006-10-08,322.000
2006-10-09,294.000
2006-10-10,290.000
2006-10-11,288.000
2006-10-12,311.000
2006-10-13,306.000
2006-10-14,322.000
2006-10-15,313.000
2006-10-16,306.000
2006-10-17,306.000
2006-10-18,366.000
2006-10-19,378.000
2006-10-20,342.000
2006-10-21,318.000
2006-10-22,315.000
2006-10-23,301.000
2006-10-24,322.000
2006-10-25,347.000
2006-10-26,340.000
2006-10-27,507.000
2006-10-28,442.000
2006-10-29,488.000
2006-10-30,619.000
2006-10-31,689.000
2006-11-01,789.000
2006-11-02,848.000
2006-11-03,686.000
2006-11-04,623.000
2006-11-05,598.000
2006-11-06,712.000
2006-11-07,584.000
2006-11-08,540.000
2006-11-09,398.000
2006-11-10,337.000
2006-11-11,430.000
2006-11-12,450.000
2006-11-13,461.000
2006-11-14,684.000
2006-11-15,1093.000
2006-11-16,876.000
2006-11-17,753.000
2006-11-18,675.000
2006-11-19,637.000
2006-11-20,569.000
2006-11-21,577.000
2006-11-22,658.000
2006-11-23,547.000
2006-11-24,533.000
2006-11-25,580.000
2006-11-26,637.000
2006-11-27,654.000
2006-11-28,647.000
2006-11-29,616.000
2006-11-30,518.000
2006-12-01,461.000
2006-12-02,510.000
2006-12-03,562.000
2006-12-04,369.000
2006-12-05,405.000
2006-12-06,378.000
2006-12-07,352.000
2006-12-08,422.000
2006-12-09,937.000
2006-12-10,785.000
2006-12-11,589.000
2006-12-12,568.000
2006-12-13,706.000
2006-12-14,615.000
2006-12-15,586.000
2006-12-16,528.000
2006-12-17,583.000
2006-12-18,1125.000
2006-12-19,1229.000
2006-12-20,906.000
2006-12-21,689.000
2006-12-22,583.000
2006-12-23,533.000
2006-12-24,515.000
2006-12-25,474.000
2006-12-26,481.000
2006-12-27,461.000
2006-12-28,454.000
2006-12-29,683.000
2006-12-30,739.000
2006-12-31,510.000
